"location","claim_excerpt","dataset","cluster","tf","claimed_direction","observed","cor_score_targets","anchor_ok","verdict","impact"
"Results Fig4f","CD16 mild: strong activation of IFN TFs","MilCOVID_Azimuthl2","CD16_Mono","STAT1","up","up (+5.6)",0.922077726268141,TRUE,"SUPPORTED","none - claim stands"
"Results Fig4f","CD16 mild: strong activation of IFN TFs","MilCOVID_Azimuthl2","CD16_Mono","IRF9","up","up (+5.0)",0.42744505456536,TRUE,"SUPPORTED","none - claim stands"
"Results Fig4f","CD16 severe: same TFs not upregulated","SevCOVID_Azimuthl2","CD16_Mono","STAT2","not_up","down (-0.9)",0.821305498575493,TRUE,"SUPPORTED","none - claim stands"
"Results Fig4f","CD16 severe: same TFs not upregulated","SevCOVID_Azimuthl2","CD16_Mono","JUND","not_up","up (+2.6)",0.404040273018986,TRUE,"FLAG: still positive in severe (weaker than mild)","soften wording (attenuated, not absent)"
"Results Fig4f","CD16 severe: same TFs not upregulated","SevCOVID_Azimuthl2","CD16_Mono","IRF7","not_up","not significant",NA,NA,"SUPPORTED","none - claim stands"
"Results Fig4f","CD16 severe: same TFs not upregulated","SevCOVID_Azimuthl2","CD16_Mono","STAT1","not_up","down (-2.1)",0.899526466628116,TRUE,"SUPPORTED","none - claim stands"
"Results Fig4f","CD16 severe: same TFs not upregulated","SevCOVID_Azimuthl2","CD16_Mono","IRF9","not_up","down (-1.5)",0.617566702278247,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","IRF7","up","up (+7.3)",0.944419475370828,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","IRF9","up","up (+5.6)",0.831508872569169,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","STAT1","up","up (+7.9)",0.887212216055978,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","STAT2","up","up (+8.0)",0.832345093934879,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","IRF7","up","up (+9.6)",0.886662315552474,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","IRF9","up","up (+7.4)",0.575343782535179,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","STAT1","up","up (+10.8)",0.833258145780076,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","type I IFN TFs active in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","STAT2","up","up (+10.5)",0.54102432767001,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","CD16 severe: complete loss of type I IFN TFs","SevCOVID_Azimuthl2","CD16_Mono","IRF7","down_or_absent","not significant",NA,NA,"SUPPORTED (absent from significant set)","none - claim stands"
"Results Fig5","CD16 severe: complete loss of type I IFN TFs","SevCOVID_Azimuthl2","CD16_Mono","IRF9","down_or_absent","down (-1.5)",0.617566702278247,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","CD16 severe: complete loss of type I IFN TFs","SevCOVID_Azimuthl2","CD16_Mono","STAT1","down_or_absent","down (-2.1)",0.899526466628116,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","CD16 severe: complete loss of type I IFN TFs","SevCOVID_Azimuthl2","CD16_Mono","STAT2","down_or_absent","down (-0.9)",0.821305498575493,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","CD16 severe: gain of inflammation/stress TFs","SevCOVID_Azimuthl2","CD16_Mono","NFKB2","up","up (+4.1)",0.336281436190336,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","CD16 severe: gain of inflammation/stress TFs","SevCOVID_Azimuthl2","CD16_Mono","HIF1A","up","up (+3.9)",0.701630333155095,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","CD16 severe: gain of inflammation/stress TFs","SevCOVID_Azimuthl2","CD16_Mono","ATF3","up","up (+4.2)",0.60402441517503,TRUE,"SUPPORTED","none - claim stands"
"Results Fig5","CD16 severe: gain of inflammation/stress TFs","SevCOVID_Azimuthl2","CD16_Mono","ATF4","up","up (+3.1)",0.276891555323585,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","IRF1","up","up (+5.6)",0.477023394142799,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","IRF7","up","up (+7.3)",0.944419475370828,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","IRF9","up","up (+5.6)",0.831508872569169,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","STAT1","up","up (+7.9)",0.887212216055978,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 mild","MilCOVID_Azimuthl2","CD14_Mono","STAT2","up","up (+8.0)",0.832345093934879,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","IRF1","up","up (+8.4)",0.580652452962154,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","IRF7","up","up (+9.6)",0.886662315552474,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","IRF9","up","up (+7.4)",0.575343782535179,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","STAT1","up","up (+10.8)",0.833258145780076,TRUE,"SUPPORTED","none - claim stands"
"Discussion","IFN TFs strongly activated in CD14 severe","SevCOVID_Azimuthl2","CD14_Mono","STAT2","up","up (+10.5)",0.54102432767001,TRUE,"SUPPORTED","none - claim stands"
"Discussion","CD16 severe: loss of interferon TFs","SevCOVID_Azimuthl2","CD16_Mono","IRF1","down_or_absent","up (+1.4)",0.691972548079289,TRUE,"FLAG: claimed loss but delta positive","manual check"
"Discussion","CD16 severe: loss of interferon TFs","SevCOVID_Azimuthl2","CD16_Mono","IRF7","down_or_absent","not significant",NA,NA,"SUPPORTED (absent from significant set)","none - claim stands"
"Discussion","CD16 severe: loss of interferon TFs","SevCOVID_Azimuthl2","CD16_Mono","IRF9","down_or_absent","down (-1.5)",0.617566702278247,TRUE,"SUPPORTED","none - claim stands"
"Discussion","CD16 severe: loss of interferon TFs","SevCOVID_Azimuthl2","CD16_Mono","STAT1","down_or_absent","down (-2.1)",0.899526466628116,TRUE,"SUPPORTED","none - claim stands"
"Discussion","CD16 severe: loss of interferon TFs","SevCOVID_Azimuthl2","CD16_Mono","STAT2","down_or_absent","down (-0.9)",0.821305498575493,TRUE,"SUPPORTED","none - claim stands"
"Discussion (C8)","confirmed upregulation of IFN/STAT families in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF2","up","up (+9.2)",0.974941989543048,TRUE,"SUPPORTED","none - claim stands"
"Discussion (C8)","confirmed upregulation of IFN/STAT families in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF7","up","up (+10.4)",0.984359030804882,TRUE,"SUPPORTED","none - claim stands"
"Discussion (C8)","confirmed upregulation of IFN/STAT families in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF8","up","up (+8.3)",0.959721895640205,TRUE,"SUPPORTED","none - claim stands"
"Discussion (C8)","confirmed upregulation of IFN/STAT families in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT1","up","up (+7.2)",0.937850359618305,TRUE,"SUPPORTED","none - claim stands"
"Discussion (C8)","confirmed upregulation of IFN/STAT families in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT2","up","up (+10.1)",0.978077220886959,TRUE,"SUPPORTED","none - claim stands"
"Discussion (C8)","confirmed upregulation of IFN/STAT families in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT3","up","up (+6.3)",0.796783254710594,TRUE,"SUPPORTED","none - claim stands"
